Rank,Company,Ticker,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Global500,Worlds_Most_Admired_Companies,Best_Companies_to_Work_For,Number_of_employees,MarketCap_March28_M,Revenue,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,CompanyType
423,Quest Diagnostics,DGX,Health Care,Health Care: Pharmacy and Other Services,yes,no,no,no,-32,no,yes,no,44000,14782.7,"$9,252,000 ",-6.4,854,-9.7,14022,James E. Davis,U.S.,Secaucus,New Jersey,Public
424,Altice USA,ATUS,Telecommunications,Telecommunications,yes,no,no,no,-27,no,no,no,10600,1190.5,"$9,237 ",-4.3,53.2,-72.7,31923.6,Dennis Mathew,U.S.,Long Island City,New York,Public
425,PVH,PVH,Apparel,Apparel,yes,no,no,no,-3,no,no,no,23000,8385.6,"$9,218 ",2.1,663.6,231.1,11172.9,Stefan Larsson,U.S.,New York,New York,Public
426,Eastman Chemical,EMN,Chemicals,Chemicals,yes,no,no,no,-49,no,no,no,14000,11786.2,"$9,210,000 ",-12.9,894,12.7,14633,Mark J. Costa,U.S.,Kingsport,Tennessee,Public
427,Insight Enterprises,NSIT,Technology,Information Technology Services,yes,no,yes,yes,-48,no,no,no,14437,6046.1,"$9,176 ",-12,281.3,0.2,6286.4,Joyce A. Mullen,U.S.,Chandler,Arizona,Public
428,Regions Financial,RF,Financials,Commercial Banks,yes,no,no,yes,55,no,no,no,20101,19332.9,"$9,153,000 ",21.5,2074,-7.6,152194,John M. Turner Jr.,U.S.,Birmingham,Alabama,Public
429,Beacon Roofing Supply,BECN,Wholesalers,Wholesalers: Diversified,yes,no,no,yes,20,no,no,no,8063,6217.6,"$9,120 ",8.2,435,-5.1,6207.7,Julian G. Francis,U.S.,Herndon,Virginia,Public
430,Rockwell Automation,ROK,Industrials,"Electronics, Electrical Equip.",yes,no,no,yes,46,no,no,no,29000,33384.1,"$9,058,000 ",16.7,1387.4,48.8,11304,Blake D. Moret,U.S.,Milwaukee,Wisconsin,Public
431,Polaris,PII,Transportation,Transportation Equipment,yes,no,no,yes,-7,no,no,no,18500,5654.8,"$9,015 ",0.3,502.8,12.5,5516.3,Michael T. Speetzen,U.S.,Medina,Minnesota,Public
432,ServiceNow,NOW,Technology,Computer Software,yes,no,no,yes,67,no,yes,yes,22668,156292,"$8,971,000 ",23.8,1731,432.6,17387,William R. McDermott,U.S.,Santa Clara,California,Public
433,Sanmina,SANM,Technology,Semiconductors and Other Electronic Components,yes,yes,no,no,38,no,no,no,36000,3468.2,"$8,935,000 ",12.8,310,28.9,4874,Jure Sola,U.S.,San Jose,California,Public
434,UGI,UGI,Energy,Utilities: Gas and Electric,no,no,no,yes,-46,no,no,no,10500,5142.4,"$8,928,000 ",-11.7,-1502,-240,15401,Mario  Longhi,U.S.,King of Prussia,Pennsylvania,Public
435,WEC Energy Group,WEC,Energy,Utilities: Gas and Electric,yes,no,no,no,-31,no,no,no,7000,25935.2,"$8,893,000 ",-7.3,1331.7,-5.4,43939.7,Scott J. Lauber,U.S.,Milwaukee,Wisconsin,Public
436,BrightSpring Health Services,BGST,Health Care,Health Care: Pharmacy and Other Services,no,no,no,no,0,no,no,no,35000,1860.8,"$8,826 ",14.3,-154.6,,5532.7,Jon B. Rousseau,U.S.,Louisville,Kentucky,Public
437,Cintas,CTAS,Business Services,Diversified Outsourcing Services,yes,no,no,yes,36,no,yes,no,44500,69695.1,"$8,816 ",12.2,1348,9.1,8546.4,Todd M. Schneider,U.S.,Cincinnati,Ohio,Public
438,Commercial Metals,CMC,Materials,Metals,yes,no,no,yes,-10,no,no,no,13022,6800.2,"$8,800 ",-1.3,859.8,-29.4,6639.1,Peter R. Matt,U.S.,Irving,Texas,Public
439,Continental Resources,CLR,Energy,"Mining, Crude-Oil Production",yes,no,no,yes,-32,no,no,no,1457,,"$8,732 ",-7.8,3095.8,-23.1,22387.4,Robert D. Lawler,U.S.,Oklahoma City,Oklahoma,Private
440,Chesapeake Energy,CHK,Energy,"Mining, Crude-Oil Production",yes,no,no,no,-90,no,no,no,1000,11618.5,"$8,721,000 ",-25.7,2419,-51,14376,Domenic J. Dell'Osso Jr.,U.S.,Oklahoma City,Oklahoma,Public
441,CenterPoint Energy,CNP,Energy,Utilities: Gas and Electric,yes,no,no,no,-28,no,no,no,8827,18035.1,"$8,696,000 ",-6.7,917,-13.2,39715,Jason P. Wells,U.S.,Houston,Texas,Public
442,NGL Energy Partners,NGL,Energy,Pipelines,yes,no,no,no,25,no,no,no,638,763.3,"$8,695 ",9.4,51.4,,5456.1,H. Michael Krimbill,U.S.,Tulsa,Oklahoma,Public
443,DoorDash,DASH,Technology,Internet Services and Retailing,no,yes,no,yes,88,no,no,no,19300,55639.5,"$8,635,000 ",31.2,-558,,10839,Tony Xu,U.S.,San Francisco,California,Public
444,NOV,NOV,Energy,"Oil and Gas Equipment, Services",yes,no,no,yes,57,no,no,no,33676,7690.9,"$8,583,000 ",18.6,993,540.6,11294,Clay C. Williams,U.S.,Houston,Texas,Public
445,Zoetis,ZTS,Health Care,Pharmaceuticals,yes,no,yes,yes,18,no,no,no,14100,77475.7,"$8,544,000 ",5.7,2344,10.9,14286,Kristin C. Peck,U.S.,Parsippany,New Jersey,Public
446,J.M. Smucker,SJM,"Food, Beverages & Tobacco",Food Consumer Products,no,no,no,no,19,no,no,no,5800,13364.3,"$8,529 ",6.6,-91.3,-114.5,14991.4,Mark T. Smucker,U.S.,Orrville,Ohio,Public
447,Microchip Technology,MCHP,Technology,Semiconductors and Other Electronic Components,yes,no,no,yes,75,no,no,no,22600,48478.2,"$8,439 ",23.7,2237.7,74.1,16370.3,Ganesh Moorthy,U.S.,Chandler,Arizona,Public
448,Dover,DOV,Industrials,Industrial Machinery,yes,no,no,no,-3,no,no,no,25000,24341.7,"$8,438 ",-0.8,1056.8,-0.8,11348.5,Richard J. Tobin,U.S.,Downers Grove,Illinois,Public
449,Diamondback Energy,FANG,Energy,"Mining, Crude-Oil Production",yes,no,no,yes,-49,no,no,no,1023,35362.8,"$8,412,000 ",-12.8,3143,-28.3,29001,Travis D. Stice,U.S.,Midland,Texas,Public
450,Avery Dennison,AVY,Materials,"Packaging, Containers",yes,no,no,no,-29,no,yes,no,35000,17976.2,"$8,364 ",-7.5,503,-33.6,8209.8,Dean M. Stander,U.S.,Mentor,Ohio,Public
451,PPL,PPL,Energy,Utilities: Gas and Electric,yes,no,no,yes,19,no,no,no,6629,20306.2,"$8,312,000 ",5.2,740,-2.1,39236,Vincent Sorgi,U.S.,Allentown,Pennsylvania,Public
452,ON Semiconductor,ON,Technology,Semiconductors and Other Electronic Components,yes,no,no,no,2,no,no,no,30050,31430,"$8,253,000 ",-0.9,2183.7,14.8,13215.2,Hassane S. El-Khoury,U.S.,Scottsdale,Arizona,Public
